webshop_name|brand|pc
JCPenney|Asics|48
Sports Authority|Trayl|48
Macy's|Michael Kors|48
Bluefly|Kahrianne|48
Nordstrom|Billabong|48
Dillard's|Spanx|48
carbon38|Nux|47
Bloomingdale's_SS|Under Armour|47
Target|Coollast|47
Myntra|Le Bison|46
Bloomingdale's|Spiritual Gangster|46
Sears|Ash City|46
Farfetch|Christopher Kane|46
Farfetch|Raquel Allegra|46
Sports Authority|Prince|46
carbon38|Blue Life Fit|45
Bloomingdale's|Phat Buddha|45
JCPenney|Columbia|45
Nordstrom|Trina Turk|45
Urban Outfitters|Manastash|45
Nordstrom|New Balance|45
Nordstrom_SS|Make + Model|45
Shopbop|Beyond Yoga|45
Nordstrom|Splits59|45
Saks Fifth Avenue|Helmut Lang|45
carbon38|Lucas Hugh|44
Bloomingdale's|Oiselle|44
Asos|Joyrich|44
Urban Outfitters|Alo Yoga|44
Asos|Benetton|44
Bluefly|Islay|44
Farfetch|Hydrogen|44
Farfetch|Paul Smith|44
Lord & Taylor|Hue|44
Nordstrom_SS|Michael Michael Kors|44
carbon38|Zara Terez|43
Macy's|Red Jacket|43
Nordstrom|Bills Khakis|43
Neiman Marcus|Halston|43
Farfetch|A.F.Vandevorst|43
Lord & Taylor|Kensie|43
Shopbop|Splits59|43
Macy's|Charter Club|42
Urban Outfitters|The Upside|42
Neiman Marcus|Alexander Wang|42
Shopbop|Norma Kamali|42
Nordstrom|Adidas By Stella Mccartney|42
Shopbop|Sundry|42
Sears|Strongerrx|42
Bloomingdale's_SS|Natori|42
Farfetch|Tomas Maier|42
Sears|Justice League|41
carbon38|Vie Active|41
Bloomingdale's|Theory|41
Asos|Markus Lupfer|41
Kohls|Colosseum|41
Bluefly|Electric Yoga|41
Nordstrom|Surfside Supply|41
Saks Fifth Avenue|Bcbgmaxazria|41
Nordstrom|Mountain Hardwear|41
Shopbop|Vince|41
Wrangler|Wrangler|41
carbon38|Alternative|40
JCPenney|Levi|40
Urban Outfitters|Blue Life Fit|40
